satisfaction,gender,age,customer_type,type_of_travel,class,flight_distance,"комфорт, еда, развлечения",сервис/обслуживание,интернет сервис,основные функции
1,0,56,1,1,2,67,3.0,4.0,1.0,3.0
1,0,43,1,1,2,2199,3.0,5.0,1.0,2.0
1,0,41,1,1,2,3997,3.0,4.0,1.0,3.0
1,1,57,1,1,2,3392,4.0,4.0,1.0,3.0
0,1,31,1,1,0,173,1.0,3.0,4.0,2.0
1,1,56,1,1,2,173,4.0,3.0,1.0,3.0
1,1,24,0,1,0,108,4.0,4.0,1.0,1.0
0,1,36,1,1,2,173,3.0,2.0,4.0,2.0
1,1,50,1,1,2,67,3.0,4.0,4.0,3.0
0,1,43,1,1,2,173,3.0,2.0,4.0,3.0
0,0,49,1,1,2,3213,2.0,1.0,3.0,4.0
0,0,47,0,1,0,173,3.0,3.0,2.0,2.0
0,1,53,1,1,2,3201,2.0,2.0,2.0,3.0
1,1,70,1,1,0,173,4.0,2.0,4.0,3.0
0,0,25,0,1,0,212,3.0,2.0,3.0,2.0
1,1,55,0,1,0,108,3.0,3.0,3.0,3.0
0,0,7,0,1,0,67,2.0,3.0,3.0,2.0
0,0,46,1,0,0,173,3.0,4.0,2.0,2.0
0,0,19,1,0,0,215,1.0,3.0,2.0,2.0
0,1,39,1,0,0,108,2.0,3.0,2.0,1.0
0,1,58,1,0,0,215,3.0,3.0,2.0,3.0
1,0,9,1,0,0,173,2.0,2.0,4.0,4.0
0,1,53,1,0,0,173,2.0,1.0,2.0,3.0
0,0,27,1,0,0,212,0.0,4.0,3.0,3.0
0,1,65,1,0,0,67,4.0,4.0,3.0,2.0
0,0,52,1,0,0,67,3.0,1.0,2.0,3.0
0,0,53,1,0,0,108,3.0,0.0,2.0,3.0
0,0,32,0,1,2,173,3.0,3.0,3.0,3.0
1,0,50,1,1,2,2035,4.0,4.0,4.0,3.0
0,1,8,1,1,1,108,1.0,2.0,4.0,2.0
0,0,7,1,0,1,173,2.0,4.0,2.0,1.0
0,0,34,1,0,1,173,2.0,4.0,2.0,1.0
0,0,18,0,1,1,215,1.0,2.0,3.0,3.0
1,1,44,1,1,2,562,4.0,3.0,4.0,3.0
1,0,52,1,1,2,562,3.0,3.0,4.0,3.0
1,1,44,1,1,2,2992,3.0,3.0,1.0,3.0
1,0,51,1,1,2,1970,3.0,4.0,3.0,3.0
1,1,44,1,1,2,1964,4.0,3.0,1.0,3.0
1,1,42,1,1,2,3227,4.0,3.0,2.0,3.0
1,1,24,0,1,2,562,4.0,4.0,3.0,3.0
0,1,43,1,1,2,562,2.0,4.0,3.0,3.0
0,0,7,1,1,2,1954,1.0,3.0,2.0,2.0
1,0,39,1,1,2,2046,3.0,4.0,2.0,4.0
0,0,11,0,1,0,562,1.0,3.0,3.0,4.0
0,1,54,1,1,2,3389,2.0,4.0,3.0,4.0
0,0,51,1,1,2,562,2.0,2.0,2.0,3.0
0,0,12,0,1,2,562,2.0,3.0,3.0,3.0
0,0,26,0,1,2,562,3.0,2.0,2.0,2.0
1,1,39,1,1,2,1553,3.0,4.0,4.0,3.0
1,1,32,1,1,2,562,4.0,2.0,4.0,3.0
0,0,37,1,1,0,162,2.0,3.0,1.0,3.0
0,1,40,1,1,2,3043,2.0,1.0,2.0,4.0
0,0,38,1,0,0,562,4.0,2.0,2.0,2.0
0,1,17,1,0,0,562,3.0,4.0,3.0,3.0
0,0,33,1,0,0,562,4.0,2.0,2.0,1.0
0,0,7,1,0,0,562,2.0,4.0,2.0,2.0
0,1,21,1,0,0,562,4.0,3.0,3.0,2.0
0,0,68,1,0,0,562,3.0,2.0,2.0,3.0
0,0,28,0,1,2,562,5.0,2.0,3.0,2.0
0,1,59,0,1,2,227,1.0,4.0,2.0,2.0
0,0,26,0,1,2,227,3.0,2.0,3.0,3.0
1,1,45,1,1,2,2374,3.0,3.0,2.0,3.0
0,0,69,1,1,2,3261,2.0,3.0,4.0,3.0
1,1,31,1,1,2,3538,3.0,4.0,4.0,3.0
1,0,55,1,1,2,227,3.0,3.0,4.0,3.0
1,1,58,1,1,2,227,3.0,3.0,2.0,4.0
1,0,39,1,1,2,227,3.0,2.0,1.0,3.0
1,0,41,1,1,2,3002,4.0,0.0,1.0,3.0
0,1,16,1,1,2,227,3.0,3.0,1.0,3.0
1,1,60,1,1,2,2371,3.0,4.0,3.0,3.0
0,0,47,1,1,2,1946,2.0,3.0,1.0,2.0
0,0,54,1,1,2,227,2.0,2.0,3.0,3.0
0,1,21,0,1,0,227,3.0,3.0,2.0,3.0
1,1,36,1,1,2,1534,3.0,4.0,4.0,4.0
0,0,51,1,1,2,3424,3.0,2.0,4.0,3.0
1,0,35,1,1,2,227,3.0,4.0,3.0,3.0
1,0,41,1,1,2,2731,4.0,4.0,4.0,3.0
0,0,17,0,1,2,227,4.0,3.0,3.0,3.0
0,0,49,0,1,2,227,3.0,2.0,2.0,2.0
0,1,60,1,1,2,3415,2.0,1.0,2.0,3.0
0,1,22,0,1,0,227,2.0,3.0,2.0,1.0
1,0,46,1,1,2,227,3.0,4.0,4.0,3.0
0,0,42,1,0,0,227,4.0,3.0,2.0,3.0
0,1,20,1,0,0,227,4.0,3.0,3.0,1.0
0,1,14,1,0,0,227,5.0,3.0,2.0,1.0
0,0,64,1,0,0,227,3.0,1.0,2.0,3.0
0,1,12,1,0,0,227,3.0,4.0,3.0,3.0
0,1,29,1,0,0,227,2.0,4.0,2.0,1.0
0,0,44,1,0,0,227,3.0,3.0,1.0,3.0
0,0,66,1,0,0,227,4.0,3.0,2.0,3.0
0,1,37,1,0,0,227,3.0,4.0,3.0,2.0
0,1,35,1,0,0,227,4.0,2.0,2.0,2.0
0,0,36,1,0,0,227,1.0,4.0,3.0,3.0
1,0,49,1,1,2,1798,3.0,4.0,4.0,3.0
0,0,39,1,1,2,3822,2.0,3.0,3.0,3.0
0,0,56,1,0,1,227,4.0,3.0,2.0,3.0
0,0,10,1,0,1,227,1.0,4.0,2.0,2.0
0,1,28,1,0,1,227,3.0,3.0,3.0,2.0
1,0,36,1,1,2,213,3.0,1.0,1.0,3.0
1,1,56,1,1,2,2975,4.0,4.0,1.0,3.0
1,0,56,1,1,2,213,3.0,4.0,3.0,3.0
1,1,44,1,1,2,2569,3.0,4.0,4.0,3.0
0,1,26,0,1,2,213,1.0,4.0,2.0,3.0
1,1,44,1,1,2,2497,4.0,0.0,1.0,3.0
0,1,49,1,1,2,213,2.0,2.0,1.0,3.0
1,1,42,1,1,2,3880,3.0,3.0,1.0,3.0
0,1,36,0,1,2,213,4.0,3.0,3.0,2.0
1,1,20,0,1,2,213,4.0,4.0,3.0,4.0
1,0,42,1,1,2,2888,4.0,2.0,1.0,3.0
1,1,44,1,1,2,290,3.0,4.0,2.0,3.0
0,1,35,0,1,2,213,2.0,3.0,3.0,2.0
0,1,52,1,1,2,2129,3.0,1.0,2.0,3.0
1,0,46,1,1,2,3556,3.0,5.0,2.0,3.0
1,1,57,0,1,2,213,2.0,4.0,4.0,3.0
0,0,43,1,1,2,213,3.0,1.0,4.0,3.0
0,1,38,0,1,2,213,4.0,4.0,3.0,3.0
0,0,27,0,1,2,290,4.0,3.0,3.0,2.0
0,1,59,1,1,2,1828,3.0,3.0,4.0,3.0
0,1,53,1,1,2,3728,2.0,3.0,3.0,3.0
1,0,40,1,1,2,213,4.0,2.0,2.0,2.0
0,0,49,0,1,2,213,4.0,3.0,3.0,2.0
1,0,69,1,1,2,290,3.0,4.0,2.0,3.0
0,0,27,0,1,0,213,2.0,1.0,3.0,4.0
0,0,30,1,1,2,213,4.0,2.0,4.0,2.0
0,1,16,1,1,2,213,2.0,2.0,4.0,2.0
0,1,38,0,1,2,213,3.0,2.0,2.0,2.0
0,1,34,1,0,0,213,4.0,3.0,3.0,3.0
1,0,35,1,0,0,213,3.0,3.0,2.0,1.0
0,1,48,1,0,0,290,4.0,3.0,2.0,2.0
0,1,17,1,0,0,213,2.0,3.0,3.0,3.0
0,1,31,1,0,0,290,1.0,4.0,4.0,4.0
0,1,31,1,0,0,290,3.0,3.0,3.0,3.0
0,0,36,1,0,0,213,2.0,4.0,2.0,2.0
0,0,44,1,0,0,213,1.0,1.0,3.0,4.0
0,0,16,1,0,0,213,3.0,4.0,1.0,3.0
0,1,35,1,0,0,290,1.0,4.0,2.0,3.0
0,1,29,1,0,0,290,2.0,3.0,3.0,4.0
0,1,66,1,0,0,290,2.0,3.0,3.0,3.0
0,0,17,1,0,0,213,3.0,3.0,3.0,2.0
0,0,9,0,1,2,213,2.0,3.0,3.0,2.0
1,0,57,1,1,2,213,4.0,4.0,3.0,3.0
1,1,47,1,1,1,213,3.0,3.0,4.0,3.0
1,0,16,1,0,1,213,1.0,4.0,3.0,4.0
0,1,35,1,1,2,3242,2.0,2.0,4.0,2.0
0,1,7,1,0,2,719,1.0,4.0,3.0,3.0
1,0,39,1,1,2,719,3.0,4.0,2.0,4.0
1,1,44,1,1,2,719,3.0,4.0,2.0,4.0
1,0,49,1,1,2,3477,3.0,4.0,4.0,4.0
1,1,22,1,1,2,2689,4.0,4.0,2.0,3.0
0,1,38,0,1,2,719,0.0,4.0,4.0,3.0
0,1,22,0,1,0,719,1.0,3.0,2.0,2.0
0,1,30,0,1,2,719,3.0,2.0,2.0,2.0
0,1,50,1,1,2,719,3.0,3.0,2.0,3.0
0,1,23,1,1,2,719,3.0,2.0,4.0,3.0
0,1,20,0,1,0,319,4.0,3.0,2.0,2.0
0,0,70,1,0,0,719,3.0,1.0,3.0,4.0
0,1,66,0,0,0,719,2.0,2.0,3.0,3.0
0,0,50,1,0,1,719,2.0,2.0,2.0,3.0
0,1,39,1,0,1,719,1.0,4.0,2.0,2.0
0,1,18,1,0,1,719,1.0,4.0,2.0,2.0
1,1,22,0,1,2,612,1.0,4.0,3.0,4.0
1,1,58,1,1,2,612,4.0,4.0,2.0,3.0
1,1,48,1,1,2,1708,4.0,3.0,4.0,3.0
0,1,62,1,1,2,612,2.0,2.0,4.0,3.0
0,0,61,1,0,0,612,2.0,2.0,3.0,2.0
0,1,63,1,0,2,802,3.0,4.0,2.0,3.0
1,0,43,1,1,2,3967,3.0,4.0,4.0,3.0
1,0,49,1,1,2,825,4.0,3.0,3.0,3.0
1,1,44,1,1,2,2770,3.0,3.0,2.0,4.0
1,0,40,1,1,2,2026,3.0,4.0,1.0,3.0
0,1,20,0,1,0,802,3.0,2.0,3.0,3.0
1,0,59,1,1,2,802,3.0,4.0,2.0,4.0
0,1,43,1,1,2,802,2.0,3.0,2.0,2.0
0,1,53,1,1,2,3357,2.0,2.0,2.0,3.0
0,0,27,0,1,2,802,1.0,3.0,3.0,3.0
1,0,29,1,1,2,3044,3.0,3.0,3.0,3.0
0,0,43,0,1,0,402,2.0,3.0,2.0,3.0
1,1,40,1,1,2,402,4.0,4.0,3.0,2.0
0,0,16,1,0,0,802,4.0,2.0,3.0,1.0
0,0,23,1,0,0,825,1.0,3.0,3.0,3.0
1,1,44,1,0,0,825,2.0,4.0,3.0,3.0
0,1,51,1,0,0,825,4.0,4.0,3.0,3.0
1,1,25,1,0,0,825,3.0,4.0,4.0,3.0
1,1,40,0,1,2,802,1.0,3.0,3.0,4.0
0,0,45,1,1,2,825,2.0,0.0,3.0,3.0
0,0,42,1,0,1,802,3.0,4.0,2.0,3.0
0,1,39,0,1,2,1250,1.0,4.0,2.0,2.0
1,1,54,1,1,2,2718,4.0,3.0,2.0,3.0
1,0,21,0,1,0,1250,0.0,4.0,3.0,3.0
0,1,52,1,1,2,1517,3.0,1.0,3.0,3.0
0,1,17,1,0,0,1250,1.0,3.0,3.0,3.0
0,0,47,1,1,2,2262,3.0,2.0,3.0,3.0
0,1,52,0,1,2,590,4.0,3.0,3.0,2.0
1,1,41,1,1,2,590,3.0,5.0,2.0,3.0
1,1,40,1,1,2,821,3.0,2.0,2.0,4.0
0,0,43,1,1,2,1895,2.0,1.0,2.0,3.0
1,1,56,1,1,2,2204,4.0,3.0,1.0,3.0
1,0,31,1,1,2,2146,4.0,4.0,4.0,3.0
1,1,53,1,1,2,853,3.0,3.0,2.0,3.0
1,0,60,1,1,2,2180,3.0,2.0,1.0,3.0
0,1,26,0,1,2,821,3.0,4.0,2.0,2.0
1,1,22,1,1,2,3206,4.0,3.0,2.0,3.0
0,1,30,0,1,2,821,2.0,4.0,3.0,4.0
1,0,59,1,1,2,2160,3.0,3.0,2.0,3.0
1,0,25,1,1,2,3380,4.0,4.0,1.0,3.0
1,0,44,1,1,2,821,3.0,5.0,1.0,3.0
1,0,25,0,1,2,821,4.0,4.0,4.0,4.0
0,0,29,0,1,2,853,1.0,3.0,2.0,2.0
0,0,60,1,1,2,821,2.0,2.0,2.0,3.0
0,0,21,0,1,2,853,3.0,2.0,2.0,3.0
0,1,42,1,1,2,3109,2.0,2.0,1.0,3.0
0,1,49,1,1,2,821,2.0,2.0,3.0,3.0
1,1,59,1,1,2,3674,3.0,4.0,2.0,4.0
1,0,31,1,1,2,3845,4.0,4.0,1.0,3.0
0,0,39,1,1,2,821,2.0,1.0,2.0,3.0
0,1,47,1,1,2,3954,2.0,1.0,3.0,3.0
0,1,46,1,1,2,3293,2.0,2.0,3.0,3.0
1,1,44,1,1,0,453,3.0,2.0,3.0,4.0
1,0,37,0,1,0,421,2.0,2.0,3.0,4.0
0,1,26,0,1,0,421,1.0,3.0,3.0,3.0
0,0,56,1,1,2,421,2.0,1.0,1.0,3.0
0,0,40,1,1,0,421,3.0,3.0,4.0,3.0
0,1,37,1,0,0,821,4.0,3.0,2.0,2.0
0,0,57,1,0,0,853,3.0,4.0,3.0,3.0
0,0,22,1,0,0,853,2.0,2.0,2.0,3.0
0,1,16,1,0,0,853,1.0,4.0,3.0,3.0
0,0,35,1,0,0,821,2.0,4.0,2.0,1.0
0,1,27,1,0,0,821,2.0,4.0,2.0,2.0
0,0,58,1,0,0,821,3.0,3.0,3.0,3.0
0,1,8,1,0,0,821,1.0,3.0,2.0,2.0
0,1,9,1,0,0,853,2.0,3.0,1.0,2.0
0,0,33,1,0,0,821,3.0,3.0,3.0,3.0
1,0,25,1,1,2,853,3.0,4.0,4.0,3.0
0,1,57,1,1,2,821,2.0,2.0,2.0,3.0
0,0,7,1,0,1,853,4.0,3.0,2.0,1.0
0,0,37,1,0,1,821,5.0,2.0,3.0,3.0
0,0,51,1,0,1,821,3.0,2.0,2.0,3.0
0,1,16,1,0,1,821,5.0,2.0,3.0,2.0
1,0,43,1,1,2,102,4.0,4.0,2.0,3.0
1,1,55,1,1,2,3431,4.0,4.0,2.0,2.0
0,1,27,0,1,2,113,4.0,3.0,4.0,3.0
1,1,40,1,1,2,229,4.0,4.0,4.0,3.0
1,1,24,0,1,0,134,4.0,4.0,4.0,4.0
1,0,39,1,1,2,1869,3.0,4.0,2.0,3.0
1,0,35,1,1,2,164,3.0,4.0,4.0,3.0
1,1,26,0,1,2,102,3.0,3.0,1.0,1.0
1,0,53,1,1,2,2366,3.0,4.0,2.0,3.0
1,1,49,1,1,2,3770,4.0,4.0,1.0,3.0
1,1,43,1,1,2,2169,3.0,4.0,3.0,3.0
1,0,39,1,1,2,2895,3.0,4.0,2.0,3.0
1,1,53,1,1,2,2235,4.0,3.0,3.0,3.0
1,0,54,1,1,2,3628,3.0,3.0,3.0,4.0
1,1,41,0,1,2,309,4.0,4.0,2.0,3.0
1,0,42,1,1,2,247,3.0,4.0,3.0,3.0
1,1,45,1,1,2,1507,3.0,4.0,1.0,3.0
1,0,56,1,1,2,102,3.0,3.0,4.0,3.0
1,0,46,1,1,2,1987,3.0,4.0,3.0,3.0
1,0,58,1,1,2,3442,3.0,4.0,3.0,3.0
1,1,43,1,1,2,102,4.0,4.0,1.0,3.0
1,0,45,1,1,2,229,3.0,1.0,1.0,3.0
1,0,58,1,1,2,2759,3.0,4.0,2.0,3.0
1,0,54,1,1,2,2722,3.0,3.0,3.0,4.0
0,0,27,0,1,2,102,0.0,4.0,2.0,2.0
1,1,52,1,1,2,1938,3.0,3.0,4.0,4.0
1,1,49,1,1,2,134,3.0,4.0,4.0,3.0
1,0,35,1,1,2,140,3.0,3.0,1.0,3.0
1,0,54,1,1,2,3325,4.0,4.0,4.0,3.0
0,1,35,1,1,2,3838,2.0,3.0,3.0,4.0
0,0,26,0,1,2,158,3.0,3.0,3.0,2.0
1,1,52,1,1,2,134,3.0,4.0,3.0,3.0
1,1,38,0,1,2,164,1.0,4.0,3.0,4.0
1,1,23,0,1,0,134,4.0,4.0,1.0,1.0
1,0,36,1,1,2,1818,3.0,4.0,4.0,3.0
1,1,42,1,1,2,3824,3.0,3.0,4.0,3.0
1,0,39,1,1,2,1661,3.0,3.0,3.0,4.0
0,1,36,0,1,2,134,3.0,4.0,2.0,2.0
0,0,32,1,1,2,164,1.0,3.0,4.0,2.0
0,0,47,1,1,2,3169,1.0,2.0,4.0,2.0
0,1,57,1,1,2,3687,2.0,2.0,1.0,4.0
1,0,49,1,1,2,2739,4.0,3.0,1.0,2.0
0,1,58,1,1,2,158,2.0,1.0,2.0,4.0
0,1,53,1,1,2,115,2.0,1.0,3.0,3.0
1,1,51,1,1,2,3458,3.0,2.0,1.0,3.0
0,0,38,0,1,2,229,2.0,2.0,3.0,4.0
0,0,44,1,1,2,3915,3.0,3.0,2.0,2.0
1,0,36,1,1,2,2474,4.0,4.0,1.0,3.0
1,0,48,1,1,2,270,4.0,4.0,4.0,3.0
1,1,58,1,1,2,309,3.0,3.0,4.0,3.0
0,1,36,1,1,2,140,2.0,1.0,2.0,3.0
0,0,25,0,1,2,312,3.0,3.0,3.0,3.0
1,0,51,1,1,2,3873,3.0,3.0,3.0,4.0
1,1,59,1,1,2,3800,4.0,0.0,1.0,3.0
0,0,39,1,1,2,1770,3.0,4.0,1.0,3.0
0,0,35,0,1,2,113,3.0,3.0,2.0,1.0
0,0,40,1,1,2,1654,3.0,1.0,3.0,4.0
0,0,52,1,0,2,309,3.0,2.0,3.0,3.0
0,0,24,1,0,2,140,2.0,2.0,3.0,3.0
0,1,47,1,0,2,102,3.0,0.0,1.0,3.0
0,0,46,1,0,2,247,3.0,1.0,2.0,3.0
0,0,27,1,0,2,158,2.0,4.0,4.0,2.0
0,1,53,1,0,2,134,3.0,1.0,2.0,3.0
0,0,57,1,0,2,134,3.0,2.0,3.0,3.0
0,0,66,1,0,2,396,3.0,1.0,3.0,4.0
1,1,31,1,0,2,229,4.0,3.0,4.0,3.0
0,0,14,1,0,2,309,5.0,2.0,3.0,2.0
0,1,35,1,0,2,247,4.0,2.0,1.0,3.0
1,1,48,1,0,2,247,3.0,3.0,3.0,4.0
1,0,41,1,1,2,3060,4.0,4.0,4.0,3.0
1,1,48,1,1,2,2607,4.0,4.0,4.0,3.0
0,1,42,0,1,2,282,2.0,4.0,3.0,3.0
1,0,32,1,1,2,1804,4.0,3.0,2.0,3.0
1,0,39,1,1,2,3409,3.0,1.0,1.0,3.0
1,1,55,1,1,2,134,3.0,3.0,4.0,3.0
1,1,47,1,1,2,3145,3.0,4.0,4.0,3.0
1,0,34,1,1,2,3310,3.0,5.0,4.0,4.0
1,0,48,1,1,2,3945,3.0,4.0,4.0,3.0
1,1,43,1,1,2,113,4.0,4.0,4.0,3.0
1,0,38,1,1,2,1911,3.0,1.0,0.0,4.0
1,1,41,1,1,2,2227,4.0,3.0,3.0,3.0
1,0,53,1,1,2,102,3.0,4.0,1.0,4.0
1,0,44,1,1,2,2500,3.0,5.0,1.0,3.0
1,0,30,1,1,2,396,4.0,4.0,1.0,3.0
1,0,48,1,1,2,102,3.0,4.0,3.0,3.0
1,0,51,1,1,2,1568,3.0,4.0,4.0,4.0
1,1,48,1,1,2,3617,3.0,3.0,1.0,3.0
1,1,43,1,1,2,1634,4.0,4.0,2.0,3.0
1,0,56,1,1,2,89,4.0,3.0,1.0,3.0
0,1,40,0,1,2,113,2.0,4.0,2.0,1.0
1,1,57,1,1,2,1760,4.0,2.0,1.0,3.0
1,0,39,1,1,2,1681,4.0,4.0,4.0,3.0
1,0,59,1,1,2,3517,4.0,4.0,1.0,3.0
1,0,62,1,1,2,3490,3.0,4.0,3.0,3.0
1,1,57,1,1,2,1595,4.0,4.0,3.0,3.0
0,1,28,0,1,2,309,0.0,4.0,3.0,4.0
1,0,37,0,1,2,164,0.0,4.0,3.0,3.0
1,1,55,1,1,2,134,4.0,3.0,1.0,3.0
1,0,30,1,1,2,482,4.0,4.0,1.0,3.0
1,0,34,1,1,2,2553,3.0,4.0,4.0,4.0
1,1,39,1,1,2,2540,4.0,3.0,2.0,2.0
1,1,48,1,1,2,354,4.0,3.0,1.0,3.0
1,1,48,1,1,2,89,4.0,3.0,4.0,3.0
0,1,20,0,1,0,164,1.0,4.0,2.0,2.0
1,0,51,1,1,2,2752,3.0,3.0,1.0,3.0
1,0,57,1,1,2,229,3.0,5.0,3.0,3.0
1,1,57,1,1,2,2884,3.0,4.0,1.0,3.0
1,1,59,1,1,2,134,3.0,3.0,1.0,2.0
0,0,32,0,1,2,309,3.0,4.0,2.0,3.0
1,0,59,1,1,2,3621,3.0,3.0,4.0,3.0
1,0,34,1,1,2,3008,4.0,4.0,4.0,4.0
1,0,41,1,1,2,164,3.0,4.0,1.0,4.0
1,0,49,1,1,2,3603,3.0,4.0,4.0,4.0
1,0,57,1,1,2,2541,3.0,4.0,3.0,3.0
1,0,38,1,1,2,354,3.0,4.0,1.0,3.0
1,1,41,1,1,2,1549,3.0,1.0,1.0,3.0
1,1,38,1,1,2,3598,3.0,4.0,4.0,3.0
1,1,39,1,1,2,2068,3.0,4.0,1.0,3.0
1,1,52,1,1,2,164,3.0,2.0,1.0,3.0
1,1,50,1,1,2,3003,4.0,2.0,0.0,3.0
1,0,36,1,1,2,1709,3.0,4.0,2.0,3.0
1,0,38,1,1,2,3690,3.0,4.0,4.0,3.0
1,0,57,1,1,2,2241,3.0,4.0,1.0,3.0
1,0,52,1,1,2,354,3.0,4.0,1.0,3.0
1,0,40,1,1,2,134,3.0,4.0,3.0,3.0
0,1,36,0,1,2,247,3.0,3.0,2.0,2.0
1,1,56,1,1,2,140,3.0,3.0,3.0,4.0
1,1,21,0,1,2,89,2.0,4.0,2.0,4.0
0,0,15,0,1,0,247,3.0,4.0,2.0,2.0
1,0,34,1,1,2,396,4.0,4.0,2.0,3.0
1,0,50,1,1,2,2938,4.0,4.0,1.0,3.0
1,0,39,1,1,2,158,4.0,4.0,1.0,3.0
1,0,48,1,1,2,3418,3.0,3.0,3.0,3.0
1,0,50,1,1,2,3425,3.0,4.0,4.0,4.0
1,0,30,1,1,2,134,3.0,4.0,2.0,3.0
1,0,55,1,1,2,1827,4.0,3.0,4.0,3.0
0,1,38,0,1,2,134,1.0,3.0,3.0,4.0
1,0,49,1,1,2,134,4.0,4.0,3.0,3.0
1,1,54,1,1,2,2526,3.0,3.0,4.0,4.0
1,0,54,1,1,2,1665,3.0,1.0,1.0,3.0
1,1,52,1,1,2,2055,3.0,2.0,1.0,3.0
1,1,51,1,1,2,3462,4.0,3.0,3.0,4.0
0,0,38,0,1,2,309,4.0,3.0,3.0,2.0
0,1,32,0,1,2,309,3.0,4.0,3.0,3.0
1,0,42,1,1,2,1956,3.0,1.0,1.0,3.0
1,0,51,1,1,2,134,3.0,4.0,4.0,3.0
1,1,23,0,1,0,134,3.0,4.0,4.0,3.0
1,0,39,1,1,2,3983,3.0,5.0,3.0,3.0
1,0,46,1,1,2,3437,3.0,4.0,4.0,3.0
1,1,57,1,1,2,2298,4.0,4.0,4.0,3.0
1,1,54,1,1,2,2494,4.0,4.0,1.0,2.0
0,1,34,0,1,2,312,1.0,4.0,2.0,2.0
1,1,53,1,1,2,3460,3.0,4.0,1.0,3.0
1,1,39,1,1,2,3498,3.0,3.0,2.0,2.0
1,1,32,1,1,2,113,3.0,4.0,4.0,3.0
1,0,44,1,1,2,3447,4.0,2.0,1.0,3.0
1,0,39,1,1,2,3514,3.0,4.0,2.0,3.0
1,1,31,1,1,2,3057,4.0,3.0,2.0,3.0
1,1,42,1,1,2,164,4.0,4.0,3.0,3.0
1,0,51,1,1,2,3447,3.0,5.0,1.0,2.0
1,1,23,0,1,2,247,4.0,3.0,4.0,3.0
1,0,59,0,1,2,247,3.0,4.0,3.0,3.0
1,1,49,1,1,2,89,4.0,4.0,4.0,3.0
1,1,62,1,1,2,3235,3.0,4.0,3.0,3.0
1,0,52,1,1,2,2145,3.0,2.0,2.0,2.0
1,1,57,1,1,2,309,3.0,3.0,3.0,3.0
1,0,47,1,1,2,2947,3.0,3.0,1.0,3.0
0,1,40,0,1,2,164,3.0,4.0,2.0,1.0
1,1,46,1,1,2,113,3.0,5.0,2.0,3.0
